manufacturer,item,category,csi_spec_section,description,width,depth,height,mounting_type,cost,labor_per,currency,unit_of_measure
Penco,PENCO-6160V,Locker,10 51 13,"Penco Vanguard. Locker. 9""W x 24""D x 60""H. 1-tier. Cat.No 6160V",9,24,60,,,,USD,EA
Penco,PENCO-6161V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 72""H. 1-tier. Cat.No 6161V",12,12,72,,,,USD,EA
Penco,PENCO-6162V,Locker,10 51 13,"Penco Vanguard. Locker. 21""W x 21""D x 30.5""H. 1-tier. Cat.No 6162V",21,21,30.5,,,,USD,EA
Penco,PENCO-6163V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 15""D x 72""H. 1-tier. Cat.No 6163V",15,15,72,,,,USD,EA
Penco,PENCO-6164V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 24""D x 30.5""H. 1-tier. Cat.No 6164V",24,24,30.5,,,,USD,EA
Penco,PENCO-6165V,Locker,10 51 13,"Penco Vanguard. Double Door. 12""W x 18""D x 72""H. 1-tier. Cat.No 6165V",12,18,72,,,,USD,EA
Penco,PENCO-6166V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 30.5""H. 1-tier. Cat.No 6166V",12,12,30.5,,,,USD,EA
Penco,PENCO-6167V,Locker,10 51 13,"Penco Vanguard. Double Door. 21""W x 21""D x 72""H. 1-tier. Cat.No 6167V",21,21,72,,,,USD,EA
Penco,PENCO-6168V,Locker,10 51 13,"Penco Vanguard. Double Door. 24""W x 24""D x 72""H. 1-tier. Cat.No 6168V",24,24,72,,,,USD,EA
Penco,PENCO-6169V,Locker,10 51 13,"Penco Vanguard. Double Door. 12""D x 72""H. 1-tier. Cat.No 6169V",,12,72,,,,USD,EA
Penco,PENCO-6170V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 30""D x 5""H. 1-tier. Cat.No 6170V",12,30,5,,,,USD,EA
Penco,PENCO-6171V,Locker,10 51 13,"Penco Vanguard. Double Door. 12""W x 15""D x 72""H. 1-tier. Cat.No 6171V",12,15,72,,,,USD,EA
Penco,PENCO-6172V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 18""D x 30.5""H. 1-tier. Cat.No 6172V",18,18,30.5,,,,USD,EA
Penco,PENCO-6173V,Locker,10 51 13,"Penco Vanguard. Double Door. 15""W x 18""D x 72""H. 1-tier. Cat.No 6173V",15,18,72,,,,USD,EA
Penco,PENCO-6174V,Locker,10 51 13,"Penco Vanguard. Locker. 21""W x 21""D x 30.5""H. 1-tier. Cat.No 6174V",21,21,30.5,,,,USD,EA
Penco,PENCO-6175V,Locker,10 51 13,"Penco Vanguard. Double Door. 18""W x 21""D x 72""H. 1-tier. Cat.No 6175V",18,21,72,,,,USD,EA
Penco,PENCO-6176V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 48.5""H. 1-tier. Cat.No 6176V",12,12,48.5,,,,USD,EA
